Abstand (µm),Decimals,Ti Kα1,Al Kα1,Ta Lα1,Nb Lα1,
0,0,421,193,8,39,
0,117898416897117,436,205,13,25,
0,235796833794235,441,158,14,34,
0,353695250691352,441,183,14,35,
0,47159366758847,451,185,10,37,
0,589492084485587,455,202,14,28,
0,707390501382704,433,201,15,22,
0,825288918279822,391,192,7,38,
0,943187335176939,423,195,4,38,
1,06108575207406,490,188,13,38,
1,17898416897117,451,180,11,37,
1,29688258586829,440,202,16,31,
1,41478100276541,417,202,9,33,
1,53267941966253,454,174,19,40,
1,65057783655964,434,195,11,35,
1,76847625345676,453,187,9,36,
1,88637467035388,426,182,7,27,
2,004273087251,421,193,11,31,
2,12217150414811,466,186,9,33,
2,24006992104523,395,181,13,39,
2,35796833794235,443,189,13,27,
2,47586675483947,434,195,11,34,
2,59376517173658,476,182,8,42,
2,7116635886337,456,195,11,39,
2,82956200553082,436,225,11,46,
2,94746042242794,436,192,11,36,
3,06535883932505,462,204,11,30,
3,18325725622217,471,236,10,31,
3,30115567311929,440,186,14,45,
3,41905409001641,471,193,16,33,
3,53695250691352,476,202,10,35,
3,65485092381064,456,203,9,41,
3,77274934070776,413,232,12,28,
3,89064775760487,469,181,8,34,
4,00854617450199,433,208,12,34,
4,12644459139911,453,197,12,42,
4,24434300829623,451,215,8,31,
4,36224142519335,407,193,11,39,
4,48013984209046,440,202,6,32,
4,59803825898758,443,201,9,38,
4,7159366758847,421,222,13,35,
4,83383509278181,499,182,13,32,
4,95173350967893,445,205,13,45,
5,06963192657605,447,184,17,36,
5,18753034347317,441,200,10,37,
5,30542876037028,460,198,11,35,
5,4233271772674,449,211,13,28,
5,54122559416452,457,205,9,54,
5,65912401106164,453,181,15,39,
5,77702242795875,443,203,10,29,
5,89492084485587,417,231,12,44,
6,01281926175299,450,199,9,36,
6,1307176786501,448,235,10,38,
6,24861609554722,436,194,14,48,
6,36651451244434,444,172,14,35,
6,48441292934146,418,197,7,36,
6,60231134623858,467,205,7,33,
