Abstand (µm),Decimals,Al Kα1,Ti Kα1,Nb Lα1,Ta Lα1,
0,0,274,410,38,11,
0,0697630504253161,258,389,39,18,
0,139526100850632,255,433,36,23,
0,209289151275949,252,430,38,16,
0,279052201701265,261,442,56,17,
0,348815252126581,224,445,46,13,
0,418578302551897,255,452,43,11,
0,488341352977213,233,460,41,20,
0,558104403402529,247,470,36,17,
0,627867453827845,237,423,48,10,
0,697630504253161,237,411,37,17,
0,767393554678478,233,426,44,18,
0,837156605103794,248,455,37,13,
0,90691965552911,257,439,42,19,
0,976682705954426,259,438,43,15,
1,04644575637974,262,436,28,19,
1,11620880680506,224,446,46,15,
1,18597185723037,260,442,42,18,
1,25573490765569,267,468,42,17,
1,32549795808101,250,445,46,19,
1,39526100850632,251,457,38,20,
1,46502405893164,262,435,42,14,
1,53478710935696,279,427,36,16,
1,60455015978227,267,450,47,15,
1,67431321020759,239,420,46,16,
1,7440762606329,230,453,52,21,
1,81383931105822,242,451,41,15,
1,88360236148354,247,429,30,19,
1,95336541190885,231,425,32,17,
2,02312846233417,237,420,42,14,
2,09289151275948,259,443,39,11,
2,1626545631848,221,460,44,13,
2,23241761361012,253,421,43,15,
2,30218066403543,237,462,38,21,
2,37194371446075,240,479,43,16,
2,44170676488607,245,467,37,31,
2,51146981531138,241,430,42,23,
2,5812328657367,236,447,41,14,
2,65099591616201,229,490,37,7,
2,72075896658733,235,475,39,13,
2,79052201701265,230,449,47,13,
2,86028506743796,227,421,35,19,
2,93004811786328,236,453,35,20,
2,99981116828859,282,455,34,21,
3,06957421871391,236,452,35,21,
3,13933726913923,274,460,47,20,
3,20910031956454,226,440,41,22,
3,27886336998986,216,466,31,12,
3,34862642041518,236,426,44,16,
3,41838947084049,238,448,30,16,
3,48815252126581,220,428,41,17,
3,55791557169112,254,425,39,13,
3,62767862211644,242,424,43,14,
3,69744167254176,215,447,49,16,
3,76720472296707,234,424,35,21,
3,83696777339239,230,448,55,21,
3,9067308238177,263,439,36,20,
3,97649387424302,225,448,45,15,
4,04625692466834,231,424,36,14,
4,11601997509365,227,430,46,27,
4,18578302551897,255,413,37,15,
4,25554607594429,230,452,34,19,
4,3253091263696,209,471,31,19,
4,39507217679492,218,419,35,21,
4,46483522722024,256,456,43,12,
4,53459827764555,234,441,41,30,
4,60436132807087,227,464,34,14,
4,67412437849618,226,472,41,12,
4,7438874289215,205,468,36,20,
4,81365047934681,244,410,33,24,
4,88341352977213,215,423,35,15,
4,95317658019745,237,426,31,12,
5,02293963062276,221,415,38,19,
5,09270268104808,221,456,46,28,
5,1624657314734,245,457,40,18,
5,23222878189871,242,420,37,23,
5,30199183232403,231,439,37,21,
5,37175488274934,228,441,39,16,
5,44151793317466,198,446,42,22,
5,51128098359998,226,425,37,13,
5,58104403402529,229,435,34,26,
5,65080708445061,202,440,39,27,
5,72057013487593,217,449,37,12,
5,79033318530124,210,454,45,27,
5,86009623572656,226,433,43,14,
5,92985928615187,212,419,32,23,
5,99962233657719,220,423,38,24,
6,06938538700251,226,471,37,23,
6,13914843742782,231,443,52,15,
6,20891148785314,225,391,42,19,
6,27867453827845,219,440,44,19,
6,34843758870377,199,374,35,23,
6,41820063912909,226,437,38,20,
6,4879636895544,221,448,32,16,
6,55772673997972,218,414,32,27,
6,62748979040503,223,451,38,21,
6,69725284083035,217,398,38,21,
6,76701589125567,239,387,36,25,
6,83677894168098,221,438,35,19,
6,9065419921063,240,441,39,24,
6,97630504253162,217,428,32,21,
7,04606809295693,230,418,42,26,
7,11583114338225,252,435,32,21,
7,18559419380756,247,406,30,26,
7,25535724423288,234,412,32,20,
7,3251202946582,222,422,39,21,
7,39488334508351,225,392,35,25,
7,46464639550883,257,440,29,20,
7,53440944593414,231,431,43,22,
7,60417249635946,251,427,40,23,
7,67393554678478,250,433,34,30,
7,74369859721009,252,386,35,24,
7,81346164763541,221,395,41,28,
7,88322469806073,244,409,32,27,
7,95298774848604,238,417,37,31,
8,02275079891136,219,473,29,27,
8,09251384933667,227,440,41,23,
8,16227689976199,238,449,40,19,
8,23203995018731,242,421,29,32,
8,30180300061262,230,383,30,24,
8,37156605103794,233,442,31,32,
8,44132910146325,243,416,29,31,
8,51109215188857,229,405,33,25,
8,58085520231389,227,441,38,28,
8,6506182527392,242,397,31,31,
8,72038130316452,246,384,35,32,
8,79014435358983,228,409,38,28,
8,85990740401515,231,393,35,26,
8,92967045444047,225,444,44,22,
8,99943350486578,238,432,29,23,
9,0691965552911,220,417,43,27,
9,13895960571642,241,388,43,21,
9,20872265614173,254,426,43,22,
9,27848570656705,262,428,31,34,
9,34824875699236,221,427,40,24,
9,41801180741768,236,421,43,22,
9,487774857843,246,431,36,28,
9,55753790826831,219,411,25,23,
9,62730095869363,233,374,34,26,
9,69706400911894,221,378,37,38,
9,76682705954426,240,425,34,24,
9,83659010996958,245,445,30,26,
9,90635316039489,227,401,35,19,
9,97611621082021,209,405,33,35,
10,0458792612455,209,350,37,22,
10,1156423116708,226,415,40,37,
10,1854053620962,225,411,36,32,
10,2551684125215,227,395,38,26,
10,3249314629468,242,399,35,24,
10,3946945133721,224,396,43,33,
10,4644575637974,214,438,36,28,
10,5342206142227,242,409,34,25,
10,6039836646481,249,418,45,23,
10,6737467150734,229,433,35,25,
10,7435097654987,225,427,41,31,
10,813272815924,219,420,33,28,
10,8830358663493,241,399,33,25,
10,9527989167746,236,411,29,19,
11,0225619671999,235,384,36,23,
11,0923250176253,263,410,43,23,
11,1620880680506,237,441,39,22,
11,2318511184759,242,402,33,20,
11,3016141689012,228,424,30,32,
11,3713772193265,213,447,43,18,
11,4411402697519,237,426,42,23,
11,5109033201772,244,443,44,22,
11,5806663706025,244,456,37,34,
11,6504294210278,255,395,25,25,
11,7201924714531,272,423,49,26,
11,7899555218784,236,423,54,23,
11,8597185723037,254,421,38,18,
11,9294816227291,260,433,42,18,
11,9992446731544,242,450,36,18,
12,0690077235797,266,445,33,29,
12,138770774005,248,415,39,23,
12,2085338244303,261,466,34,23,
12,2782968748556,220,429,29,20,
12,348059925281,274,394,45,25,
12,4178229757063,270,435,40,16,
12,4875860261316,255,425,33,19,
12,5573490765569,247,420,34,22,
12,6271121269822,242,423,36,24,
12,6968751774075,235,443,41,19,
12,7666382278329,260,410,35,24,
12,8364012782582,225,411,36,21,
12,9061643286835,241,451,33,19,
12,9759273791088,252,425,43,21,
13,0456904295341,268,444,39,20,
13,1154534799594,270,415,36,20,
13,1852165303848,236,434,41,16,
13,2549795808101,247,422,41,17,
13,3247426312354,268,415,38,18,
13,3945056816607,273,441,32,23,
13,464268732086,227,417,42,23,
13,5340317825113,269,453,41,23,
13,6037948329366,241,413,39,21,
13,673557883362,278,438,40,25,
13,7433209337873,237,421,43,23,
13,8130839842126,234,420,35,20,
13,8828470346379,238,429,37,20,
13,9526100850632,263,407,33,18,
14,0223731354885,267,449,32,15,
14,0921361859139,242,438,33,21,
14,1618992363392,261,423,39,18,
14,2316622867645,233,429,48,25,
14,3014253371898,259,428,37,24,
14,3711883876151,225,438,29,13,
14,4409514380404,255,416,31,20,
14,5107144884658,266,432,29,18,
14,5804775388911,267,429,29,31,
14,6502405893164,229,436,38,15,
14,7200036397417,236,403,34,17,
14,789766690167,250,448,35,16,
14,8595297405923,257,457,38,16,
14,9292927910177,234,442,39,23,
14,999055841443,233,453,41,25,
15,0688188918683,269,440,36,19,
15,1385819422936,258,454,38,24,
15,2083449927189,251,447,35,22,
15,2781080431442,241,443,30,18,
15,3478710935696,244,449,29,21,
15,4176341439949,232,448,28,25,
15,4873971944202,229,422,41,18,
15,5571602448455,214,432,43,18,
15,6269232952708,230,411,29,16,
15,6966863456961,233,430,39,15,
15,7664493961215,249,436,38,22,
15,8362124465468,243,453,41,23,
15,9059754969721,234,452,30,21,
15,9757385473974,240,446,46,16,
16,0455015978227,224,435,29,22,
16,115264648248,263,405,37,16,
16,1850276986733,250,431,32,24,
16,2547907490987,255,438,38,17,
16,324553799524,232,420,36,13,
16,3943168499493,216,419,31,20,
16,4640799003746,230,427,28,15,
16,5338429507999,242,441,34,25,
16,6036060012252,229,481,29,15,
16,6733690516506,226,433,40,22,
16,7431321020759,238,429,25,15,
16,8128951525012,237,427,26,14,
16,8826582029265,244,447,40,15,
16,9524212533518,227,420,41,20,
17,0221843037771,245,414,35,18,
17,0919473542025,232,434,44,22,
17,1617104046278,231,476,35,13,
17,2314734550531,227,438,31,19,
17,3012365054784,220,449,25,20,
17,3709995559037,229,411,37,20,
17,440762606329,221,421,28,28,
17,5105256567543,230,421,33,14,
17,5802887071797,247,464,33,15,
17,650051757605,200,423,31,19,
17,7198148080303,231,467,35,25,
17,7895778584556,206,448,33,21,
17,8593409088809,232,431,32,25,
17,9291039593063,226,431,38,23,
17,9988670097316,209,473,34,21,
18,0686300601569,203,456,39,26,
18,1383931105822,235,431,25,25,
18,2081561610075,223,416,35,15,
18,2779192114328,209,451,35,18,
18,3476822618581,195,408,44,12,
18,4174453122835,207,437,20,18,
18,4872083627088,195,444,36,18,
18,5569714131341,216,416,39,27,
18,6267344635594,225,437,32,18,
18,6964975139847,222,422,40,17,
18,76626056441,206,403,30,19,
18,8360236148354,220,419,43,22,
18,9057866652607,210,454,24,20,
18,975549715686,231,420,37,28,
19,0453127661113,217,415,43,24,
19,1150758165366,245,438,41,25,
19,1848388669619,241,414,30,18,
19,2546019173873,225,412,38,21,
19,3243649678126,226,434,39,21,
19,3941280182379,198,427,40,23,
19,4638910686632,211,462,36,19,
19,5336541190885,231,434,38,19,
19,6034171695138,206,436,31,23,
19,6731802199392,231,403,35,25,
19,7429432703645,230,401,34,27,
19,8127063207898,237,431,36,15,
19,8824693712151,224,423,32,22,
19,9522324216404,229,379,46,22,
20,0219954720657,228,447,35,20,
20,091758522491,228,371,30,27,
20,1615215729164,232,410,32,22,
20,2312846233417,217,420,54,21,
20,301047673767,268,454,38,21,
20,3708107241923,197,417,34,25,
20,4405737746176,206,445,38,25,
20,5103368250429,234,401,34,22,
20,5800998754683,245,421,32,16,
20,6498629258936,231,423,27,16,
20,7196259763189,228,437,41,28,
20,7893890267442,228,417,32,32,
20,8591520771695,245,464,38,24,
20,9289151275948,215,416,45,20,
20,9986781780202,235,429,34,25,
21,0684412284455,224,419,48,21,
21,1382042788708,218,370,37,25,
21,2079673292961,219,401,28,17,
21,2777303797214,226,424,27,28,
21,3474934301467,242,403,23,27,
21,4172564805721,199,431,36,21,
21,4870195309974,230,411,35,31,
21,5567825814227,231,397,25,24,
21,626545631848,230,429,30,26,
21,6963086822733,221,449,40,20,
21,7660717326986,261,420,31,24,
21,835834783124,269,405,37,36,
21,9055978335493,223,433,35,18,
21,9753608839746,216,451,29,20,
22,0451239343999,230,440,34,32,
22,1148869848252,229,437,34,16,
22,1846500352505,209,432,35,27,
22,2544130856758,234,417,34,28,
22,3241761361012,224,422,40,26,
22,3939391865265,211,407,31,30,
22,4637022369518,225,446,34,13,
22,5334652873771,222,423,33,28,
22,6032283378024,240,424,31,22,
22,6729913882277,227,439,39,30,
22,7427544386531,210,436,31,27,
22,8125174890784,231,418,28,20,
22,8822805395037,227,413,34,27,
22,952043589929,224,393,29,20,
23,0218066403543,233,404,40,22,
23,0915696907796,231,418,39,18,
23,161332741205,246,430,36,28,
23,2310957916303,222,427,26,23,
23,3008588420556,249,407,31,24,
23,3706218924809,219,428,26,15,
23,4403849429062,232,429,37,22,
23,5101479933315,201,452,40,30,
23,5799110437569,243,457,32,26,
23,6496740941822,214,431,35,31,
23,7194371446075,221,453,34,23,
23,7892001950328,215,443,36,17,
23,8589632454581,217,411,37,27,
23,9287262958834,208,443,31,33,
23,9984893463088,212,439,29,23,
24,0682523967341,247,399,35,24,
24,1380154471594,213,411,32,28,
24,2077784975847,237,453,24,33,
24,27754154801,202,430,33,17,
24,3473045984353,209,443,37,35,
24,4170676488607,228,437,38,26,
24,486830699286,250,443,34,19,
24,5565937497113,228,422,44,25,
24,6263568001366,208,423,39,24,
24,6961198505619,220,446,31,24,
24,7658829009872,223,416,30,24,
24,8356459514126,238,446,43,23,
24,9054090018379,218,423,33,27,
24,9751720522632,210,421,43,14,
25,0449351026885,206,442,33,22,
25,1146981531138,214,429,43,18,
25,1844612035391,224,436,36,16,
25,2542242539644,223,405,36,25,
25,3239873043898,224,430,31,15,
25,3937503548151,232,400,24,25,
25,4635134052404,229,404,43,23,
25,5332764556657,237,439,38,23,
25,603039506091,215,403,36,24,
25,6728025565163,199,432,31,17,
25,7425656069417,249,395,36,25,
25,812328657367,231,445,32,31,
25,8820917077923,227,392,37,23,
25,9518547582176,229,422,31,19,
26,0216178086429,225,414,28,24,
26,0913808590682,223,420,32,23,
26,1611439094936,214,409,25,27,
26,2309069599189,233,425,30,29,
26,3006700103442,234,420,32,27,
26,3704330607695,231,429,28,19,
26,4401961111948,214,396,28,24,
26,5099591616201,228,432,29,24,
26,5797222120454,195,376,35,20,
26,6494852624708,234,391,34,28,
26,7192483128961,225,412,37,18,
26,7890113633214,237,406,20,36,
26,8587744137467,235,393,32,24,
26,928537464172,209,414,29,18,
26,9983005145974,226,391,26,25,
27,0680635650227,217,394,34,22,
27,137826615448,220,393,41,21,
27,2075896658733,220,405,40,24,
27,2773527162986,221,391,24,28,
27,3471157667239,225,395,30,23,
27,4168788171492,228,396,42,26,
27,4866418675746,206,450,42,21,
27,5564049179999,220,411,31,26,
27,6261679684252,208,445,41,14,
27,6959310188505,214,387,27,23,
27,7656940692758,221,399,51,23,
27,8354571197011,185,412,34,20,
27,9052201701265,207,410,34,18,
27,9749832205518,213,437,23,31,
28,0447462709771,203,428,35,24,
28,1145093214024,187,456,29,14,
28,1842723718277,216,405,32,18,
28,254035422253,179,413,39,24,
28,3237984726784,206,442,32,22,
28,3935615231037,203,415,36,28,
28,463324573529,204,431,34,15,
28,5330876239543,197,415,37,22,
28,6028506743796,187,430,31,23,
28,6726137248049,186,440,26,14,
28,7423767752303,183,439,32,19,
28,8121398256556,187,463,33,17,
28,8819028760809,195,444,28,21,
28,9516659265062,188,434,34,20,
29,0214289769315,188,439,33,18,
29,0911920273568,187,403,32,11,
29,1609550777821,164,420,35,17,
29,2307181282075,169,459,24,16,
29,3004811786328,184,403,25,15,
29,3702442290581,190,393,32,22,
29,4400072794834,198,420,40,12,
29,5097703299087,190,441,28,13,
29,579533380334,203,408,29,15,
29,6492964307594,195,444,31,16,
29,7190594811847,208,425,31,11,
29,78882253161,213,455,42,11,
29,8585855820353,215,469,38,12,
29,9283486324606,214,443,31,10,
29,9981116828859,187,475,35,18,
30,0678747333113,215,459,36,15,
30,1376377837366,209,446,28,12,
30,2074008341619,199,437,32,11,
30,2771638845872,198,454,41,14,
30,3469269350125,233,428,36,4,
30,4166899854378,211,409,41,17,
30,4864530358632,189,435,39,9,
30,5562160862885,198,427,37,7,
30,6259791367138,207,444,33,16,
30,6957421871391,204,441,33,12,
30,7655052375644,213,439,33,10,
30,8352682879897,206,436,28,19,
30,9050313384151,208,458,26,12,
30,9747943888404,225,473,39,11,
31,0445574392657,205,413,40,10,
31,114320489691,225,432,34,10,
31,1840835401163,193,449,34,14,
31,2538465905416,231,433,37,14,
31,323609640967,211,446,37,7,
31,3933726913923,221,424,35,17,
31,4631357418176,182,488,28,6,
31,5328987922429,213,435,34,19,
31,6026618426682,205,428,33,17,
31,6724248930935,212,410,31,10,
31,7421879435189,210,431,38,13,
31,8119509939442,209,441,34,11,
31,8817140443695,201,466,41,12,
31,9514770947948,183,429,26,5,
32,0212401452201,232,440,22,14,
32,0910031956454,215,459,30,10,
32,1607662460707,222,412,35,15,
32,2305292964961,234,448,46,15,
32,3002923469214,214,456,37,6,
32,3700553973467,245,444,31,9,
32,439818447772,207,452,35,11,
32,5095814981973,221,423,38,15,
32,5793445486226,215,477,29,15,
32,649107599048,193,442,23,12,
32,7188706494733,213,457,35,8,
32,7886336998986,199,416,32,7,
32,8583967503239,219,431,31,10,
32,9281598007492,195,434,36,11,
32,9979228511745,207,428,35,8,
33,0676859015999,226,418,33,10,
33,1374489520252,222,446,39,12,
33,2072120024505,199,472,28,12,
33,2769750528758,185,445,37,10,
33,3467381033011,213,453,35,9,
33,4165011537264,209,464,32,12,
33,4862642041518,189,440,36,14,
33,5560272545771,207,458,36,11,
33,6257903050024,228,461,34,9,
33,6955533554277,197,423,29,6,
33,765316405853,205,451,29,13,
33,8350794562783,205,438,39,10,
33,9048425067037,200,394,25,11,
33,974605557129,184,453,39,15,
34,0443686075543,217,433,27,11,
34,1141316579796,199,446,27,13,
34,1838947084049,237,430,38,11,
34,2536577588302,217,455,34,14,
34,3234208092555,211,450,30,9,
34,3931838596809,211,428,40,18,
34,4629469101062,216,455,41,15,
34,5327099605315,217,437,45,12,
34,6024730109568,202,438,32,8,
34,6722360613821,219,435,38,12,
34,7419991118074,199,438,31,5,
34,8117621622328,232,466,23,8,
