Abstand (µm),Decimals,Al Kα1,Ti Kα1,Nb Lα1,Ta Lα1,
0,0,100,235,26,8,
0,103235321191926,103,251,18,7,
0,206470642383852,110,227,20,11,
0,309705963575779,90,250,24,7,
0,412941284767705,100,237,15,6,
0,516176605959632,110,235,19,8,
0,619411927151558,97,218,21,3,
0,722647248343484,103,225,20,6,
0,82588256953541,104,242,20,1,
0,929117890727336,111,263,22,10,
1,03235321191926,102,215,20,5,
1,13558853311119,105,241,20,5,
1,23882385430312,95,227,14,6,
1,34205917549504,89,269,18,10,
1,44529449668697,115,238,13,9,
1,54852981787889,105,252,19,5,
1,65176513907082,106,257,20,12,
1,75500046026275,105,237,22,7,
1,85823578145467,97,261,19,13,
1,9614711026466,109,245,19,5,
2,06470642383852,101,229,12,10,
2,16794174503045,99,250,11,2,
2,27117706622238,101,250,19,7,
2,3744123874143,114,240,12,13,
2,47764770860623,113,218,10,9,
2,58088302979816,107,232,16,11,
2,68411835099008,93,235,17,11,
2,78735367218201,100,213,17,6,
2,89058899337394,109,246,28,8,
2,99382431456586,104,201,21,8,
3,09705963575779,101,240,16,9,
3,20029495694971,89,263,16,2,
3,30353027814164,115,247,17,10,
3,40676559933357,86,211,25,9,
3,51000092052549,96,259,25,8,
3,61323624171742,88,220,17,10,
3,71647156290935,102,231,21,7,
3,81970688410127,119,244,21,10,
3,9229422052932,96,235,17,6,
4,02617752648513,78,223,16,14,
4,12941284767705,96,245,16,10,
4,23264816886898,88,216,21,8,
4,3358834900609,94,243,18,13,
4,43911881125283,87,230,19,6,
4,54235413244476,123,250,20,9,
4,64558945363668,113,217,21,8,
4,74882477482861,104,240,26,9,
4,85206009602053,99,215,21,12,
4,95529541721246,95,248,24,7,
5,05853073840439,88,234,15,12,
5,16176605959631,98,229,16,6,
5,26500138078824,94,227,21,8,
5,36823670198017,119,227,19,8,
5,47147202317209,110,256,15,6,
5,57470734436402,106,241,15,12,
5,67794266555595,108,210,13,11,
5,78117798674787,116,233,20,3,
5,8844133079398,118,229,23,4,
5,98764862913172,109,241,20,7,
6,09088395032365,107,240,17,5,
6,19411927151558,125,210,17,10,
6,2973545927075,112,264,20,7,
6,40058991389943,107,241,26,5,
6,50382523509135,105,229,14,12,
6,60706055628328,114,226,21,10,
6,71029587747521,115,203,14,8,
6,81353119866713,127,229,19,17,
6,91676651985906,93,226,18,7,
7,02000184105099,125,245,21,16,
7,12323716224291,109,234,17,12,
7,22647248343484,118,219,16,5,
7,32970780462677,113,228,25,12,
7,43294312581869,127,223,14,8,
7,53617844701062,112,222,14,16,
7,63941376820255,98,229,20,12,
7,74264908939447,108,215,26,11,
7,8458844105864,126,232,21,12,
7,94911973177832,99,245,26,11,
8,05235505297025,96,217,20,9,
8,15559037416218,130,224,25,11,
8,2588256953541,95,219,16,7,
8,36206101654603,98,233,11,5,
8,46529633773796,96,255,18,13,
8,56853165892988,121,216,18,6,
8,67176698012181,108,223,14,5,
8,77500230131374,119,197,19,8,
8,87823762250566,108,230,27,10,
8,98147294369759,117,243,20,8,
9,08470826488951,91,248,17,6,
9,18794358608144,96,246,19,12,
9,29117890727336,111,243,20,4,
9,39441422846529,112,242,13,13,
9,49764954965722,107,228,15,6,
9,60088487084914,102,225,15,6,
9,70412019204107,119,261,16,12,
9,807355513233,104,241,23,8,
9,91059083442492,110,224,10,13,
10,0138261556168,119,247,13,13,
10,1170614768088,108,220,26,4,
10,2202967980007,117,211,26,12,
10,3235321191926,97,225,11,13,
10,4267674403846,125,238,24,13,
10,5300027615765,107,245,17,12,
10,6332380827684,112,221,23,8,
10,7364734039603,109,245,26,9,
10,8397087251523,122,235,15,9,
10,9429440463442,121,230,18,7,
11,0461793675361,129,199,11,8,
11,149414688728,116,243,22,10,
11,25265000992,101,237,21,6,
11,3558853311119,108,231,23,11,
11,4591206523038,117,246,17,6,
11,5623559734957,112,212,12,7,
11,6655912946877,122,214,21,12,
11,7688266158796,105,213,20,8,
11,8720619370715,114,242,20,7,
11,9752972582634,134,231,21,7,
12,0785325794554,133,192,19,12,
12,1817679006473,111,230,12,6,
12,2850032218392,127,228,11,7,
12,3882385430312,97,250,16,11,
12,4914738642231,133,254,19,11,
12,594709185415,114,245,19,5,
12,6979445066069,103,217,27,8,
12,8011798277989,118,255,16,12,
12,9044151489908,108,251,25,12,
13,0076504701827,105,208,18,9,
13,1108857913746,95,240,15,7,
13,2141211125666,120,218,14,9,
13,3173564337585,93,234,22,12,
13,4205917549504,101,251,18,9,
13,5238270761423,104,233,21,8,
13,6270623973343,96,239,23,6,
13,7302977185262,127,236,11,12,
13,8335330397181,94,224,19,8,
13,93676836091,88,244,15,9,
14,040003682102,94,237,13,8,
14,1432390032939,84,235,19,10,
14,2464743244858,96,222,16,11,
14,3497096456778,107,227,13,15,
14,4529449668697,88,241,19,10,
14,5561802880616,105,227,10,15,
14,6594156092535,106,271,19,13,
14,7626509304455,114,219,13,11,
14,8658862516374,102,220,19,12,
14,9691215728293,92,230,16,11,
15,0723568940212,100,240,8,9,
15,1755922152132,94,218,16,5,
