Abstand (µm),Decimals, Al Kα1,Ti Kα1,Ta Lα1,Nb Lα1,Mo Lα1,
0,0,732,1272,66,102,80,
0,0866502859871977,702,1318,79,114,75,
0,173300571974395,722,1261,67,117,79,
0,259950857961593,752,1318,77,122,72,
0,346601143948792,714,1329,67,110,83,
0,43325142993599,713,1343,72,120,96,
0,519901715923188,711,1296,53,101,82,
0,606552001910385,683,1345,47,109,96,
0,693202287897583,700,1379,66,107,76,
0,779852573884781,711,1362,66,109,85,
0,866502859871978,703,1374,66,128,93,
0,953153145859176,690,1386,57,108,94,
1,03980343184638,682,1363,57,119,76,
1,12645371783357,673,1340,70,131,80,
1,21310400382077,658,1372,55,128,98,
1,29975428980797,685,1320,57,101,89,
1,38640457579517,750,1396,55,110,91,
1,47305486178236,694,1274,64,120,75,
1,55970514776956,701,1386,58,140,67,
1,64635543375676,701,1319,68,131,76,
1,73300571974396,696,1353,45,128,94,
1,81965600573116,741,1423,47,124,81,
1,90630629171835,745,1452,50,126,77,
1,99295657770555,726,1411,53,145,81,
2,07960686369275,686,1372,45,134,72,
2,16625714967995,698,1315,60,109,76,
2,25290743566715,704,1446,62,104,80,
2,33955772165434,735,1395,60,96,82,
2,42620800764154,684,1354,69,123,93,
2,51285829362874,683,1354,54,120,92,
2,59950857961594,716,1404,61,115,85,
2,68615886560313,716,1390,47,130,98,
2,77280915159033,717,1378,57,110,84,
2,85945943757753,720,1379,44,127,78,
2,94610972356473,745,1336,70,120,77,
3,03276000955193,711,1364,46,115,95,
3,11941029553912,664,1305,36,128,71,
3,20606058152632,728,1352,61,116,93,
3,29271086751352,778,1373,63,132,81,
3,37936115350072,724,1361,54,124,100,
3,46601143948792,702,1417,63,101,84,
3,55266172547511,679,1350,52,110,92,
3,63931201146231,725,1379,60,111,74,
3,72596229744951,762,1391,58,111,99,
3,81261258343671,701,1346,60,126,83,
3,89926286942391,699,1363,59,132,86,
3,9859131554111,671,1344,53,127,90,
4,0725634413983,714,1273,55,125,100,
4,1592137273855,711,1342,74,104,86,
4,2458640133727,715,1304,65,110,84,
4,3325142993599,700,1304,67,133,85,
4,41916458534709,714,1327,68,105,75,
4,50581487133429,678,1242,71,109,75,
4,59246515732149,712,1302,85,121,98,
4,67911544330869,700,1317,83,118,77,
4,76576572929588,716,1283,78,102,88,
4,85241601528308,693,1314,75,115,96,
4,93906630127028,693,1256,77,120,85,
5,02571658725748,639,1254,80,130,94,
5,11236687324467,737,1280,81,110,68,
5,19901715923187,767,1272,76,118,85,
5,28566744521907,691,1279,80,101,79,
5,37231773120627,663,1255,97,122,89,
5,45896801719346,697,1245,76,107,86,
5,54561830318066,680,1234,90,117,99,
5,63226858916786,670,1242,90,107,78,
5,71891887515506,686,1194,97,130,92,
5,80556916114226,704,1152,88,109,81,
5,89221944712946,714,1201,101,104,85,
5,97886973311665,721,1227,94,96,78,
6,06552001910385,721,1258,98,105,79,
6,15217030509105,663,1247,104,92,86,
6,23882059107825,715,1231,114,108,80,
6,32547087706545,705,1180,88,116,80,
6,41212116305264,694,1232,101,88,66,
6,49877144903984,693,1202,93,120,69,
6,58542173502704,703,1235,107,106,73,
6,67207202101424,737,1198,93,93,75,
6,75872230700143,695,1232,111,107,89,
6,84537259298863,709,1223,107,109,88,
6,93202287897583,703,1184,110,107,69,
7,01867316496303,713,1226,81,98,81,
7,10532345095023,725,1226,109,119,82,
7,19197373693742,716,1295,115,103,78,
7,27862402292462,666,1186,89,101,80,
7,36527430891182,634,1171,99,94,83,
7,45192459489902,666,1193,112,99,67,
7,53857488088622,615,1227,106,117,77,
7,62522516687342,638,1177,102,98,81,
7,71187545286061,653,1200,113,111,79,
7,79852573884781,662,1230,122,107,81,
7,88517602483501,650,1241,107,94,75,
7,9718263108222,633,1212,129,96,61,
8,0584765968094,629,1254,104,111,79,
8,1451268827966,639,1244,109,92,73,
8,2317771687838,606,1247,99,100,78,
8,318427454771,623,1181,122,86,72,
8,40507774075819,634,1206,124,95,79,
8,49172802674539,648,1138,97,99,70,
8,57837831273259,649,1215,110,85,74,
8,66502859871979,634,1136,124,87,81,
8,75167888470699,617,1171,130,106,70,
8,83832917069419,651,1165,109,100,86,
8,92497945668138,643,1210,130,104,77,
9,01162974266858,621,1166,103,100,87,
9,09828002865578,701,1140,125,100,64,
9,18493031464298,668,1154,136,100,73,
9,27158060063017,631,1203,114,94,65,
9,35823088661737,611,1133,113,89,66,
9,44488117260457,653,1201,123,94,70,
9,53153145859177,650,1224,96,90,74,
9,61818174457897,679,1175,124,90,61,
9,70483203056616,668,1174,113,109,77,
9,79148231655336,610,1170,137,106,73,
9,87813260254056,670,1151,126,103,78,
9,96478288852776,635,1142,125,96,66,
10,051433174515,607,1143,131,111,81,
10,1380834605022,645,1196,125,91,70,
10,2247337464893,633,1176,120,84,66,
10,3113840324765,614,1154,125,98,77,
10,3980343184637,653,1103,108,105,73,
10,4846846044509,644,1164,121,91,87,
10,5713348904381,687,1196,114,106,82,
10,6579851764253,640,1187,99,104,72,
10,7446354624125,669,1166,112,112,65,
10,8312857483997,667,1137,126,95,91,
10,9179360343869,669,1162,115,103,66,
