Abstand (µm),Decimals,Al Kα1,Ti Kα1,Nb Lα1,Ta Lα1,
0,0,363,890,67,12,
0,100345199533215,335,886,63,9,
0,200690399066431,323,857,55,10,
0,301035598599646,342,865,67,5,
0,401380798132862,321,884,59,5,
0,501725997666077,322,856,74,7,
0,602071197199293,373,861,72,7,
0,702416396732508,370,892,71,16,
0,802761596265724,347,858,75,8,
0,903106795798939,366,807,58,12,
1,00345199533215,361,875,60,12,
1,10379719486537,374,883,65,12,
1,20414239439858,372,887,81,16,
1,3044875939318,369,765,69,7,
1,40483279346502,379,846,69,7,
1,50517799299823,350,842,63,10,
1,60552319253145,378,876,68,9,
1,70586839206466,346,902,76,12,
1,80621359159788,392,878,72,11,
1,90655879113109,382,829,76,12,
2,00690399066431,375,886,65,16,
2,10724919019752,375,843,66,10,
2,20759438973074,359,856,64,7,
2,30793958926396,357,896,86,13,
2,40828478879717,352,809,85,18,
2,50862998833039,361,849,78,9,
2,6089751878636,395,828,55,9,
2,70932038739682,358,869,71,9,
2,80966558693003,365,858,82,12,
2,91001078646325,374,780,70,10,
3,01035598599646,347,861,68,7,
3,11070118552968,393,867,78,14,
3,21104638506289,378,906,71,5,
3,31139158459611,382,850,61,12,
3,41173678412933,380,887,59,4,
3,51208198366254,383,861,66,6,
3,61242718319576,395,810,75,7,
3,71277238272897,347,874,61,4,
3,81311758226219,366,858,69,14,
3,9134627817954,381,845,77,11,
4,01380798132862,389,872,58,10,
4,11415318086183,343,883,80,11,
4,21449838039505,382,884,68,3,
4,31484357992827,398,947,68,11,
4,41518877946148,344,838,60,12,
4,5155339789947,377,861,62,9,
4,61587917852791,347,880,67,9,
4,71622437806113,372,876,78,9,
4,81656957759434,349,866,76,10,
4,91691477712756,355,842,73,11,
5,01725997666077,351,887,73,9,
5,11760517619399,382,862,81,9,
5,2179503757272,328,887,47,8,
5,31829557526042,362,882,70,7,
5,41864077479363,365,880,64,8,
5,51898597432685,346,890,76,11,
5,61933117386007,369,839,55,10,
5,71967637339328,355,828,50,4,
5,8200215729265,353,812,66,6,
5,92036677245971,359,867,71,7,
6,02071197199292,352,841,57,11,
6,12105717152614,370,847,61,15,
6,22140237105936,356,845,57,5,
6,32174757059257,337,878,72,15,
6,42209277012579,380,843,74,11,
6,522437969659,343,872,46,6,
6,62278316919222,359,873,72,15,
6,72312836872544,338,873,72,9,
6,82347356825865,380,814,66,9,
6,92381876779187,362,879,67,14,
7,02416396732508,373,831,69,9,
7,1245091668583,370,859,59,11,
7,22485436639152,376,931,87,13,
7,32519956592473,346,822,72,8,
7,42554476545794,381,884,77,9,
7,52588996499116,366,854,47,12,
7,62623516452437,349,914,64,8,
7,72658036405759,328,917,72,9,
7,82692556359081,358,867,69,10,
7,92727076312402,340,842,56,10,
8,02761596265724,376,836,62,6,
8,12796116219045,345,825,75,6,
8,22830636172366,349,855,74,9,
8,32865156125688,373,872,54,13,
8,4289967607901,358,878,69,12,
8,52934196032331,353,877,73,7,
8,62968715985653,328,870,56,10,
8,73003235938975,337,864,58,6,
8,83037755892296,325,848,60,10,
8,93072275845618,335,860,69,6,
9,03106795798939,354,831,76,12,
9,1314131575226,351,845,60,11,
9,23175835705582,389,851,70,6,
9,33210355658904,359,856,58,8,
9,43244875612225,351,815,75,10,
9,53279395565547,353,879,67,14,
9,63313915518868,360,884,76,8,
9,7334843547219,346,813,67,10,
9,83382955425512,329,871,65,9,
9,93417475378833,373,853,61,12,
10,0345199533215,371,827,66,5,
10,1348651528548,366,860,72,10,
10,235210352388,336,898,78,7,
10,3355555519212,368,860,72,4,
10,4359007514544,364,849,63,8,
10,5362459509876,360,852,67,9,
10,6365911505208,413,905,76,7,
10,7369363500541,353,882,60,11,
10,8372815495873,349,876,74,11,
10,9376267491205,379,871,61,11,
11,0379719486537,354,831,52,10,
11,1383171481869,391,875,70,7,
11,2386623477201,350,858,62,10,
11,3390075472533,404,887,60,9,
11,4393527467866,365,931,70,8,
11,5396979463198,403,868,78,6,
11,640043145853,376,849,69,12,
11,7403883453862,404,843,70,11,
11,8407335449194,395,822,78,8,
11,9410787444526,403,869,73,11,
12,0414239439859,368,852,68,7,
12,1417691435191,392,892,77,14,
12,2421143430523,371,892,68,8,
12,3424595425855,412,914,60,12,
12,4428047421187,402,838,71,10,
12,5431499416519,408,871,73,6,
12,6434951411851,376,891,74,7,
12,7438403407184,404,851,79,13,
12,8441855402516,382,937,68,10,
12,9445307397848,385,878,76,11,
13,044875939318,419,823,85,12,
13,1452211388512,415,880,67,10,
13,2455663383844,401,843,80,8,
13,3459115379177,384,833,71,13,
13,4462567374509,421,862,61,7,
13,5466019369841,397,873,94,11,
13,6469471365173,382,869,72,10,
13,7472923360505,395,888,78,7,
13,8476375355837,386,845,75,8,
13,947982735117,356,852,86,8,
14,0483279346502,369,896,74,7,
14,1486731341834,386,837,68,10,
14,2490183337166,375,827,78,12,
14,3493635332498,379,896,69,9,
14,449708732783,366,817,67,5,
14,5500539323162,354,834,70,9,
14,6503991318495,379,798,76,10,
14,7507443313827,366,891,78,13,
14,8510895309159,374,849,78,7,
14,9514347304491,384,898,73,6,
15,0517799299823,349,856,65,13,
15,1521251295155,327,866,64,11,
15,2524703290488,395,840,81,8,
15,352815528582,381,860,72,11,
15,4531607281152,380,850,49,15,
15,5535059276484,369,850,78,11,
15,6538511271816,379,883,67,14,
15,7541963267148,357,825,65,26,
15,854541526248,361,811,70,19,
15,9548867257813,373,842,72,18,
16,0552319253145,337,858,58,20,
16,1555771248477,341,801,56,21,
16,2559223243809,340,872,72,17,
16,3562675239141,372,825,65,22,
16,4566127234473,356,803,62,17,
16,5569579229806,334,849,50,18,
16,6573031225138,342,817,57,27,
16,757648322047,363,871,68,36,
16,8579935215802,349,827,60,32,
16,9583387211134,316,810,61,26,
17,0586839206466,347,794,64,29,
17,1590291201798,331,720,64,40,
17,2593743197131,353,739,55,39,
17,3597195192463,350,743,64,32,
17,4600647187795,342,757,65,49,
17,5604099183127,329,739,45,48,
17,6607551178459,321,756,52,46,
17,7611003173791,301,720,52,51,
17,8614455169124,292,725,55,44,
17,9617907164456,296,736,51,48,
18,0621359159788,343,676,50,56,
18,162481115512,283,728,54,62,
18,2628263150452,280,733,44,68,
18,3631715145784,276,728,54,75,
18,4635167141116,252,674,41,67,
18,5638619136449,253,678,44,75,
18,6642071131781,258,640,42,85,
18,7645523127113,254,625,37,84,
18,8648975122445,238,622,34,96,
18,9652427117777,265,611,43,101,
19,0655879113109,251,604,34,111,
19,1659331108442,221,509,36,123,
19,2662783103774,226,529,35,126,
19,3666235099106,219,468,40,138,
19,4669687094438,208,475,31,95,
19,567313908977,229,486,26,111,
19,6676591085102,194,463,21,116,
19,7680043080434,214,507,26,132,
19,8683495075767,225,502,27,133,
19,9686947071099,223,496,37,132,
20,0690399066431,215,514,29,131,
20,1693851061763,224,482,42,123,
20,2697303057095,175,478,33,124,
20,3700755052427,185,420,12,156,
20,470420704776,190,424,23,125,
20,5707659043092,171,444,20,153,
20,6711111038424,119,367,18,162,
20,7714563033756,134,406,20,160,
20,8718015029088,125,413,10,141,
20,972146702442,129,410,18,164,
21,0724919019752,108,404,19,145,
21,1728371015085,137,406,13,160,
21,2731823010417,151,399,13,162,
21,3735275005749,138,421,20,139,
21,4738727001081,143,398,25,132,
21,5742178996413,159,423,20,139,
21,6745630991745,116,387,15,150,
21,7749082987078,108,373,12,157,
21,875253498241,123,414,15,127,
21,9755986977742,162,417,17,134,
22,0759438973074,199,479,22,139,
22,1762890968406,195,445,20,141,
22,2766342963738,215,447,24,136,
22,376979495907,201,501,29,133,
22,4773246954403,220,434,30,137,
22,5776698949735,245,513,34,143,
22,6780150945067,216,494,31,103,
22,7783602940399,232,476,29,145,
22,8787054935731,240,480,41,139,
22,9790506931063,242,524,38,139,
23,0793958926396,255,545,39,130,
23,1797410921728,259,508,44,127,
23,280086291706,286,587,44,122,
23,3804314912392,232,582,49,124,
23,4807766907724,256,557,46,124,
23,5811218903056,273,533,39,122,
23,6814670898388,285,562,38,137,
23,7818122893721,287,557,54,145,
23,8821574889053,274,582,46,116,
23,9825026884385,299,592,46,112,
24,0828478879717,287,621,41,130,
24,1831930875049,296,595,47,118,
24,2835382870381,296,547,55,104,
24,3838834865714,318,604,65,116,
24,4842286861046,299,646,40,116,
24,5845738856378,272,624,51,101,
24,684919085171,276,631,55,114,
24,7852642847042,299,611,42,115,
24,8856094842374,273,603,53,123,
24,9859546837707,307,670,50,101,
25,0862998833039,283,666,55,106,
25,1866450828371,296,697,61,133,
